m,T,N,alpha,sigma_m,Sample Entropy Position,Sample Entropy Velocity,Sample Entropy Acceleration,Std Position,Std Velocity,Std Acceleration
2,0.01,500,5.0,5000,0.0073397766542290035,0.04688373778062917,0.8290096799295393,0.009427306670793261,0.0256624027296276,0.09777937661566413
2,0.01,500,5.0,10000,0.008351193692305671,0.05005785902695087,0.8120613358422726,0.011419938422011316,0.025649422236909858,0.10056553441601587
2,0.01,1000,0.1,1000,0.00183524393760828,0.006036370421181056,0.24984017223186875,0.0021167736438770937,0.006504654651207876,0.11664165383689924
2,0.01,1000,0.1,2000,0.0030014260442773684,0.006820066485169097,0.2401014417092091,0.004165693875249407,0.006733134311499134,0.11124668715598746
2,0.01,1000,0.1,5000,0.0020460501226114377,0.005772875275560005,0.25823577134053366,0.002308113519261698,0.005624064027271975,0.1330618937255976
2,0.01,1000,0.1,10000,0.0021752761865544987,0.007764818669380017,0.255289641211228,0.0023928110932831675,0.008259358280625606,0.10302635319987016
2,0.01,1000,0.5,1000,0.0033578194245426894,0.010884459593267903,0.3579205923882778,0.004548217003581561,0.010218321689937478,0.09334280625362563
2,0.01,1000,0.5,2000,0.003429622943536356,0.010753052482344228,0.3549303439405932,0.004253655885824512,0.006614181499218106,0.1057099704738123
2,0.01,1000,0.5,5000,0.002492291776756553,0.009197291794659267,0.361801543354739,0.003159102171693621,0.00755749290836706,0.1037921750196264
2,0.01,1000,0.5,10000,0.002987983527249513,0.010108367318833703,0.3665775951189294,0.003601120533997515,0.008098131080472578,0.11482593970696583
2,0.01,1000,1.0,1000,0.0035820683719983188,0.014965940158468893,0.4441084350914812,0.003945153290195555,0.008271034669493325,0.09349442624115657
2,0.01,1000,1.0,2000,0.003659904497820761,0.016316532783164965,0.41766323694822416,0.004646136390224759,0.011024095631355795,0.1084650085306754
2,0.01,1000,1.0,5000,0.0032514240807257934,0.01572848076315819,0.4392263335998779,0.0039284747519731785,0.008432934017298978,0.09666646604674588
2,0.01,1000,1.0,10000,0.0036509707543977196,0.01590473097630448,0.4583083457948179,0.004435153350923241,0.01006128332802889,0.09675041756080398
2,0.01,1000,2.0,1000,0.0027876510090947635,0.021566119472600506,0.5748011892317466,0.0032698116235510945,0.014264588240890812,0.09428457701689519
2,0.01,1000,2.0,2000,0.004554991319499441,0.022884895186117016,0.541427912084282,0.004963639665175196,0.011065162175917005,0.0752865546340366
2,0.01,1000,2.0,5000,0.0037270475384073142,0.020202657825566947,0.5672329923134772,0.004436156998747914,0.010702511221170658,0.0849627781510303
2,0.01,1000,2.0,10000,0.002850448631338308,0.02315699206857199,0.57501411155469,0.0039029059909217174,0.011857968582855734,0.07632142601858352
2,0.01,1000,5.0,1000,0.0035301190660469678,0.037112601506997335,0.7995168342291512,0.0037427165353535745,0.01319939396194618,0.07823927549722477
2,0.01,1000,5.0,2000,0.0036241281652316625,0.03297509353976455,0.8131180008821507,0.003908487986182214,0.016085311469599364,0.06840090506754556
2,0.01,1000,5.0,5000,0.003814327956809535,0.03930945977664469,0.8181805996326399,0.004801299088929085,0.018264234098410465,0.07036791686968172
2,0.01,1000,5.0,10000,0.0046520997971556885,0.04121753283384891,0.8257736443906246,0.0051375533263479925,0.02080118237468941,0.047586389494192576
2,0.01,2000,0.1,1000,0.0013086069856923035,0.002750071786863511,0.19330835147126912,0.0016051287670760805,0.002175013467221224,0.07087725841425482
2,0.01,2000,0.1,2000,0.0011837044017061324,0.0032409796769640505,0.17777353446909008,0.0012442977058066932,0.002828932364350667,0.06405627679645678
2,0.01,2000,0.1,5000,0.0011418560926131703,0.0029767016720296953,0.20047653522717657,0.001478866276998013,0.0031841404693081013,0.09384336822835977
