m,T,N,noise,Sample Entropy Position,Sample Entropy Velocity,Sample Entropy Acceleration,Std Position,Std Velocity,Std Acceleration
3,10.0,500,1000,0.003604508985158886,0.008722365129118075,0.3359280747721175,0.004610433118096645,0.011332143599830044,0.1436649673268333
3,10.0,500,2000,0.004121364131114798,0.011842275680610716,0.3423239636552061,0.0061327368926155515,0.0120719272373087,0.16991793718027212
3,10.0,500,5000,0.004484877470069825,0.011493528506685034,0.3151721684865604,0.006000078301866221,0.015360437592743328,0.14486139807426773
3,10.0,500,10000,0.004428885834383285,0.008224793593084234,0.3353346513316463,0.004675587723344188,0.009418365686890655,0.15015251329049345
3,10.0,1000,1000,0.0016183811440380908,0.004897835425793331,0.20889884833553282,0.0014030145918310988,0.006773647668738565,0.11951476858641713
3,10.0,1000,2000,0.001935804136609844,0.0037947947612171117,0.19684958685496812,0.0023346195800862573,0.004781671073235463,0.0944616149342972
3,10.0,1000,5000,0.002729979042368341,0.005313153841000222,0.2124688973805853,0.00338750463288876,0.004746706379180071,0.10691628705039369
3,10.0,1000,10000,0.002474386657563816,0.004414908484116759,0.19548119163669458,0.002827301633630312,0.004873126996866106,0.07517525299016081
3,10.0,2000,1000,0.0014950905677589101,0.0018449713165841456,0.13655066756857473,0.0018388218372358419,0.0022544448775468867,0.08061445375256648
3,10.0,2000,2000,0.001362591427616549,0.0032922326508114967,0.1337440630670552,0.001903313481803137,0.003788576983211925,0.0727470592344065
3,10.0,2000,5000,0.0010517932810364522,0.002295896643080213,0.1570824390048109,0.0014656863793717952,0.003122861587253724,0.08621833268364842
3,10.0,2000,10000,0.0009289985636705385,0.0019296218257242208,0.14890945057368593,0.000864839738845992,0.0022358020924358115,0.07794373951219793
10,0.01,100,1000,0.013714193998056876,0.01658546035341916,0.06859796357549146,0.007406575532746036,0.020545571268572593,0.11943129761235546
10,0.01,100,2000,0.012968798677976345,0.016291876838202747,0.08749396869427846,0.009736546202804277,0.02657391807870195,0.1311311175386717
10,0.01,100,5000,0.011364100168709104,0.009358175617795887,0.10690128337816,0.007133098432478104,0.015119072300556691,0.14251137006315626
